epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3953,0.98958,6.02911,0.01617,0.0032,0.97959,0.46072,0.37065,0.71219,8.91072,0.01571,0.000653333,0.000653333,0.000653333
2,53.6042,0.97558,4.16135,0.01632,0.74011,0.65306,0.78528,0.45993,1.38527,7.59798,0.03314,0.00130693,0.00130693,0.00130693
3,65.4758,1.01816,2.87831,0.01721,0.886,0.82653,0.92391,0.57568,1.35834,2.14095,0.02972,0.00194733,0.00194733,0.00194733
4,77.2554,1.02162,2.10227,0.01727,0.96548,0.85608,0.94394,0.72188,0.92768,1.40185,0.02186,0.0019406,0.0019406,0.0019406
5,89.0623,1.02837,1.61946,0.01802,0.95749,0.78571,0.91444,0.71055,0.81632,0.76341,0.01993,0.0019208,0.0019208,0.0019208
6,100.773,1.03341,1.33173,0.01743,0.91961,0.94898,0.96998,0.72774,0.95875,0.49413,0.02301,0.001901,0.001901,0.001901
7,112.679,0.99186,1.07093,0.01663,0.95739,0.91701,0.97553,0.76864,0.86108,0.41158,0.01981,0.0018812,0.0018812,0.0018812
8,124.713,0.93856,0.92256,0.01608,0.97787,0.88776,0.9689,0.76212,0.85562,0.53188,0.01951,0.0018614,0.0018614,0.0018614
9,136.539,0.93451,0.89608,0.01491,0.95198,0.94898,0.9758,0.79487,0.7551,0.46122,0.01613,0.0018416,0.0018416,0.0018416
10,148.426,0.88738,0.81325,0.01528,0.98871,0.89364,0.98216,0.80779,0.76575,0.36054,0.01813,0.0018218,0.0018218,0.0018218
11,160.307,0.88861,0.76913,0.01499,0.97892,0.94789,0.98671,0.83061,0.726,0.30367,0.01632,0.001802,0.001802,0.001802
12,172.208,0.85727,0.71502,0.0142,0.9493,0.95525,0.97924,0.82971,0.66842,0.38657,0.01467,0.0017822,0.0017822,0.0017822
13,184.139,0.87648,0.70328,0.01447,0.9868,0.94898,0.98178,0.79652,0.72128,0.31395,0.01708,0.0017624,0.0017624,0.0017624
14,196.02,0.85468,0.65525,0.01485,0.93886,0.94014,0.95622,0.72763,0.95375,0.70197,0.02366,0.0017426,0.0017426,0.0017426
15,207.971,0.88152,0.70156,0.01422,0.97992,0.95918,0.98861,0.82994,0.6741,0.42106,0.01472,0.0017228,0.0017228,0.0017228
16,219.937,0.88514,0.66544,0.01419,0.9999,0.97959,0.99299,0.83706,0.76332,0.26784,0.01597,0.001703,0.001703,0.001703
17,231.882,0.83081,0.59851,0.01359,0.96994,0.9878,0.99369,0.83056,0.72853,0.24642,0.01663,0.0016832,0.0016832,0.0016832
18,243.92,0.83542,0.57744,0.01374,0.98957,0.9898,0.99389,0.82303,0.72063,0.2305,0.01581,0.0016634,0.0016634,0.0016634
19,255.927,0.84764,0.57409,0.01352,0.98946,0.95776,0.9896,0.77771,0.84439,0.2782,0.01867,0.0016436,0.0016436,0.0016436
20,267.956,0.80061,0.58212,0.01341,0.96068,0.99724,0.994,0.79541,0.81525,0.275,0.01802,0.0016238,0.0016238,0.0016238
21,279.816,0.80369,0.54618,0.01351,0.98839,0.97959,0.9939,0.79386,0.80525,0.26458,0.01896,0.001604,0.001604,0.001604
22,291.917,0.77126,0.51356,0.01259,0.98966,0.97637,0.99291,0.81979,0.66411,0.21869,0.0151,0.0015842,0.0015842,0.0015842
23,303.992,0.75874,0.51273,0.01193,0.99834,0.97959,0.99403,0.80795,0.71096,0.26811,0.01639,0.0015644,0.0015644,0.0015644
24,316.035,0.77864,0.4751,0.01271,0.97939,0.97004,0.99247,0.83054,0.66769,0.21967,0.0155,0.0015446,0.0015446,0.0015446
25,328.031,0.74673,0.44556,0.0123,0.97277,0.96939,0.99156,0.81249,0.71022,0.28111,0.01497,0.0015248,0.0015248,0.0015248
26,340.065,0.78805,0.45987,0.01257,0.97959,0.97945,0.99381,0.84042,0.64311,0.20594,0.01502,0.001505,0.001505,0.001505
27,352.19,0.74294,0.46169,0.01192,0.99863,0.96939,0.99411,0.83355,0.68174,0.20751,0.01467,0.0014852,0.0014852,0.0014852
28,364.263,0.76475,0.46184,0.01246,0.98795,0.9898,0.99111,0.86855,0.57022,0.19504,0.01217,0.0014654,0.0014654,0.0014654
29,376.426,0.73076,0.4395,0.01166,0.98608,0.95918,0.99245,0.83371,0.6893,0.24136,0.01562,0.0014456,0.0014456,0.0014456
30,388.4,0.70474,0.435,0.01125,0.97812,0.97959,0.99163,0.86587,0.63213,0.22044,0.01477,0.0014258,0.0014258,0.0014258
31,400.308,0.73167,0.43001,0.01144,0.98156,0.9898,0.99337,0.86623,0.63154,0.23057,0.01412,0.001406,0.001406,0.001406
32,412.311,0.70381,0.4112,0.0113,1,0.97859,0.99361,0.87852,0.605,0.20521,0.01245,0.0013862,0.0013862,0.0013862
33,424.495,0.71044,0.40567,0.01167,0.97672,1,0.99408,0.86737,0.68532,0.20682,0.01517,0.0013664,0.0013664,0.0013664
34,436.502,0.70162,0.4225,0.01128,1,0.9865,0.9948,0.83955,0.64486,0.2289,0.01564,0.0013466,0.0013466,0.0013466
35,448.441,0.69907,0.44886,0.01144,0.97693,0.96939,0.99279,0.85338,0.63017,0.20721,0.01456,0.0013268,0.0013268,0.0013268
36,460.505,0.69682,0.4232,0.01108,0.98913,0.92813,0.98482,0.8737,0.56959,0.27969,0.01252,0.001307,0.001307,0.001307
37,472.624,0.66563,0.39819,0.0104,0.97022,0.96939,0.992,0.87417,0.56375,0.19498,0.01227,0.0012872,0.0012872,0.0012872
38,484.694,0.64214,0.38115,0.01014,0.97097,0.97959,0.98944,0.88637,0.54034,0.23885,0.01159,0.0012674,0.0012674,0.0012674
39,496.688,0.67478,0.41997,0.01108,0.98898,0.91617,0.98438,0.86889,0.50717,0.23371,0.01042,0.0012476,0.0012476,0.0012476
40,508.709,0.67999,0.41786,0.01093,0.985,0.95918,0.98341,0.89408,0.4786,0.26375,0.00992,0.0012278,0.0012278,0.0012278
41,520.852,0.68282,0.40079,0.01113,0.98541,0.92857,0.97941,0.86714,0.56956,0.26493,0.01324,0.001208,0.001208,0.001208
42,532.975,0.68274,0.39223,0.01068,1,0.96617,0.99337,0.87449,0.55453,0.22093,0.01228,0.0011882,0.0011882,0.0011882
